Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.254.11         23   0c19.060c.8001  ARPA   Vlan1
Internet  192.168.254.12          -   0c19.06fc.8001  ARPA   Vlan1
Internet  192.168.254.13         86   0c19.062c.8001  ARPA   Vlan1
Internet  192.168.254.19         68   d4f5.4770.f719  ARPA   Vlan1
Internet  192.168.254.22         56   00d8.6117.8cbf  ARPA   Vlan1
Internet  192.168.254.40         30   9222.2a54.3d4c  ARPA   Vlan1
Internet  192.168.254.59         62   c4ac.59a0.21c5  ARPA   Vlan1
Internet  192.168.254.70         35   a438.ccc8.ba38  ARPA   Vlan1
Internet  192.168.254.101         4   00d8.614e.61f6  ARPA   Vlan1
Internet  192.168.254.102        34   c4ac.59a0.21c5  ARPA   Vlan1
Internet  192.168.254.104        44   b8d7.af73.5805  ARPA   Vlan1
Internet  192.168.254.105        34   00d8.6117.8cbf  ARPA   Vlan1
Internet  192.168.254.106         0   f80b.be58.af4d  ARPA   Vlan1
Internet  192.168.254.254         1   c089.ab5f.19f0  ARPA   Vlan1
